# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
TCGA-EJ-7797-01A-11D-2259-01	-0.468000	0.100000
TCGA-2A-A8VL-01A-21D-A376-01	-0.100000	0.100000
TCGA-KK-A7B3-01A-11D-A33S-01	-0.386000	0.686000
TCGA-HC-7209-01A-11D-2112-01	-0.100000	0.100000
TCGA-ZG-A9L0-01A-11D-A41J-01	-0.655000	0.504000
TCGA-YL-A8HL-01A-11D-A363-01	-0.969000	0.100000
TCGA-EJ-7788-01A-11D-2112-01	-0.800000	0.371000
TCGA-EJ-7793-01A-31D-2259-01	-0.100000	0.100000
TCGA-HC-7210-01A-11D-2112-01	-0.100000	0.100000
TCGA-EJ-7783-01A-11D-2112-01	-0.621000	0.200000
TCGA-EJ-5506-01A-01D-1574-01	-0.100000	0.100000
TCGA-G9-6378-01A-11D-1785-01	-0.369000	0.100000
TCGA-V1-A8MU-01A-11D-A376-01	-0.486000	0.100000
TCGA-KC-A7F5-01A-11D-A33S-01	-0.100000	0.754000
TCGA-KK-A8IF-01A-11D-A363-01	-1.393000	1.661000
TCGA-KK-A7AV-01A-11D-A32A-01	-0.429000	0.362000
TCGA-CH-5794-01A-11D-1574-01	-0.628000	0.100000
TCGA-EJ-5526-01A-01D-1574-01	-0.517000	0.549000
TCGA-XK-AAJA-01A-11D-A41J-01	-0.243000	0.100000
TCGA-EJ-5504-01A-01D-1574-01	-0.397000	0.299000
TCGA-CH-5738-01A-11D-1574-01	-0.100000	0.100000
TCGA-G9-6365-01A-11D-1785-01	-0.100000	0.100000
TCGA-G9-6354-01A-11D-A30W-01	-0.648000	0.100000
TCGA-VN-A88M-01A-11D-A34T-01	-0.406000	0.471000
TCGA-KC-A4BV-01A-31D-A26L-01	-0.818000	0.732000
TCGA-2A-A8VO-01A-11D-A376-01	-0.652000	0.100000
TCGA-HC-7075-01A-11D-1959-01	-0.100000	0.100000
TCGA-HC-7748-01A-11D-2112-01	-0.561000	0.100000
TCGA-V1-A9OX-01A-11D-A41J-01	-0.221000	0.568000
TCGA-YL-A8HM-01A-11D-A363-01	-0.676000	1.238000
TCGA-HC-A6HX-01A-11D-A31K-01	-0.289000	0.100000
TCGA-CH-5762-01A-11D-1574-01	-0.441000	0.462000
TCGA-EJ-A7NG-01A-31D-A33S-01	-0.100000	0.100000
TCGA-ZG-A8QZ-01A-11D-A376-01	-0.458000	0.344000
TCGA-WW-A8ZI-01A-11D-A376-01	-1.053000	0.100000
TCGA-KC-A7FA-01A-21D-A33S-01	-1.055000	0.464000
TCGA-EJ-7314-01A-31D-2112-01	-0.663000	0.359000
TCGA-VP-A87H-01A-11D-A34T-01	-0.100000	1.024000
TCGA-FC-A66V-01A-21D-A30D-01	-0.100000	0.100000
TCGA-G9-6353-01A-11D-1959-01	-0.100000	0.100000
TCGA-EJ-7327-01A-11D-2112-01	-0.293000	0.100000
TCGA-CH-5743-01A-21D-1574-01	-0.100000	0.100000
TCGA-XK-AAJP-01A-11D-A41J-01	-0.950000	0.100000
TCGA-EJ-A6RC-01A-11D-A32A-01	-0.217000	0.100000
TCGA-XA-A8JR-01A-11D-A363-01	-0.251000	0.100000
TCGA-XK-AAK1-01A-11D-A41J-01	-0.867000	0.100000
TCGA-HC-A6AN-01A-11D-A30D-01	-0.783000	0.100000
TCGA-YL-A9WL-01A-11D-A41J-01	-1.050000	0.851000
TCGA-EJ-5496-01A-01D-1574-01	-0.543000	0.464000
TCGA-KK-A6E2-01A-11D-A30W-01	-0.241000	0.248000
TCGA-J4-A83J-01A-11D-A363-01	-0.667000	0.100000
TCGA-CH-5764-01A-21D-1574-01	-0.679000	0.100000
TCGA-YL-A8S8-01A-11D-A376-01	-0.737000	1.309000
TCGA-HC-8265-01B-04D-2297-01	-0.100000	0.100000
TCGA-M7-A723-01A-12D-A32A-01	-0.100000	0.100000
TCGA-EJ-A65F-01A-21D-A30W-01	-0.789000	0.752000
TCGA-V1-A9OL-01A-11D-A41J-01	-0.868000	0.873000
TCGA-CH-5746-01A-11D-1574-01	-0.100000	0.100000
TCGA-CH-5740-01A-11D-1574-01	-0.100000	0.100000
TCGA-ZG-A9LS-01A-12D-A41J-01	-0.544000	0.535000
TCGA-J4-A67K-01A-21D-A30D-01	-0.100000	0.100000
TCGA-HC-7747-01A-11D-2112-01	-0.100000	0.100000
TCGA-HC-A76X-01A-11D-A33S-01	-0.100000	0.100000
TCGA-G9-6494-01A-11D-1785-01	-0.662000	0.634000
TCGA-HC-8264-01B-11D-2391-01	-0.727000	0.872000
TCGA-M7-A725-01A-12D-A32A-01	-0.880000	1.412000
TCGA-KK-A59X-01A-11D-A323-01	-0.906000	0.100000
TCGA-EJ-7794-01A-11D-2112-01	-0.411000	0.100000
TCGA-KK-A8I8-01A-11D-A363-01	-0.797000	1.355000
TCGA-V1-A9O9-01A-11D-A41J-01	-0.654000	0.100000
TCGA-VP-A876-01A-11D-A34T-01	-0.988000	0.931000
TCGA-M7-A722-01A-12D-A363-01	-0.949000	0.100000
TCGA-HC-7081-01A-11D-1959-01	-0.652000	0.100000
TCGA-J4-A83N-01A-11D-A34T-01	-0.661000	0.100000
TCGA-CH-5754-01A-11D-1574-01	-0.754000	0.742000
TCGA-ZG-A9LU-01A-11D-A41J-01	-0.388000	0.449000
TCGA-G9-6363-01A-21D-1785-01	-0.557000	0.781000
TCGA-J9-A8CM-01A-11D-A34T-01	-0.779000	0.758000
TCGA-EJ-7331-01A-11D-2112-01	-0.100000	0.100000
TCGA-2A-AAYU-01A-11D-A41J-01	-0.945000	0.100000
TCGA-EJ-7218-01B-11D-A32A-01	-0.100000	0.100000
TCGA-G9-A9S4-01A-11D-A41J-01	-1.046000	0.662000
TCGA-KK-A8IH-01A-11D-A363-01	-0.967000	0.100000
TCGA-V1-A9OT-01A-11D-A41J-01	-0.100000	0.100000
TCGA-EJ-AB27-01A-11D-A41J-01	-0.285000	0.296000
TCGA-EJ-5542-01A-01D-1574-01	-0.221000	0.404000
TCGA-CH-5790-01A-11D-1574-01	-0.916000	0.100000
TCGA-G9-6384-01A-11D-1785-01	-0.527000	0.100000
TCGA-XQ-A8TB-01A-11D-A363-01	-0.811000	0.100000
TCGA-HC-8261-01A-11D-2259-01	-0.100000	0.379000
TCGA-V1-A9OH-01A-11D-A41J-01	-0.606000	0.592000
TCGA-VP-A872-01A-11D-A34T-01	-0.720000	0.875000
TCGA-2A-A8VX-01A-11D-A376-01	-1.047000	0.967000
TCGA-EJ-5505-01A-01D-1574-01	-0.100000	0.100000
TCGA-J4-8198-01A-11D-2259-01	-0.100000	0.748000
TCGA-G9-7509-01A-11D-A41J-01	-0.357000	0.260000
TCGA-YL-A8SO-01B-31D-A376-01	-0.660000	0.905000
TCGA-KK-A8IG-01A-11D-A363-01	-0.733000	0.560000
TCGA-KK-A8I4-01A-11D-A363-01	-0.512000	0.986000
TCGA-J4-8200-01A-11D-A323-01	-0.632000	0.628000
TCGA-G9-6377-01A-11D-1959-01	-0.575000	0.359000
TCGA-ZG-A9M4-01A-11D-A41J-01	-1.069000	0.499000
TCGA-G9-6339-01A-12D-A30W-01	-0.588000	0.100000
TCGA-EJ-5515-01A-01D-1574-01	-0.100000	0.100000
TCGA-HC-8258-01B-05D-2297-01	-0.270000	0.100000
TCGA-V1-A9OF-01A-11D-A41J-01	-0.100000	0.100000
TCGA-YL-A8SA-01A-21D-A376-01	-0.896000	0.100000
TCGA-G9-6498-01A-12D-A30W-01	-0.100000	0.202000
TCGA-EJ-7317-01A-31D-2112-01	-0.222000	0.100000
TCGA-EJ-7789-01A-11D-2112-01	-1.091000	2.219000
TCGA-YJ-A8SW-01A-11D-A376-01	-0.954000	1.546000
TCGA-EJ-A8FO-01A-21D-A363-01	-0.367000	0.100000
TCGA-HC-8213-01A-11D-A323-01	-0.100000	0.100000
TCGA-ZG-A8QY-01A-11D-A376-01	-0.657000	0.100000
TCGA-EJ-7321-01A-31D-2259-01	-0.621000	0.100000
TCGA-ZG-A9N3-01A-11D-A41J-01	-0.911000	3.202000
TCGA-CH-5748-01A-11D-1574-01	-0.208000	0.100000
