NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
43	140.684	33.626	37.127	30.576	0.121	0.932	20000.0
44	138.51	33.428	36.594	30.581	0.12	0.932	20000.0
45	131.81	31.59	34.086	28.722	0.108	0.94	20000.0
46	136.761	31.76	35.354	29.756	0.107	0.932	20000.0
47	134.918	32.192	35.574	29.396	0.118	0.936	30000.0
48	123.796	30.814	32.767	28.62	0.11	0.938	20000.0
49	134.895	31.568	34.814	28.446	0.111	0.942	20000.0
50	128.49	32.504	34.346	30.325	0.119	0.93	20000.0
51	130.051	33.178	34.891	30.604	0.115	0.931	30000.0
52	144.244	35.351	37.444	32.135	0.129	0.921	20000.0
53	130.958	31.425	35.304	30.289	0.104	0.932	20000.0
54	135.904	32.353	36.523	30.278	0.106	0.938	20000.0
55	130.731	30.751	33.898	28.531	0.107	0.94	20000.0
56	144.887	35.53	39.94	33.015	0.131	0.923	20000.0
57	141.069	33.621	36.547	30.507	0.127	0.934	20000.0
58	137.323	33.731	37.265	31.934	0.122	0.924	20000.0
59	138.829	33.307	37.294	31.177	0.12	0.928	20000.0
60	131.258	31.737	35.573	29.624	0.106	0.937	20000.0
61	134.499	34.943	36.16	33.239	0.124	0.914	20000.0
62	137.996	32.562	37.347	31.315	0.114	0.93	20000.0
63	134.62	34.683	34.746	31.498	0.128	0.921	20000.0
64	135.411	32.631	35.868	29.992	0.104	0.936	30000.0
65	137.342	32.643	36.504	30.643	0.114	0.932	20000.0
66	148.864	35.217	37.669	31.003	0.123	0.93	20000.0
67	140.891	35.366	36.286	32.327	0.137	0.919	20000.0
68	136.885	33.0	35.142	30.453	0.111	0.933	20000.0
69	137.831	33.943	37.284	31.471	0.119	0.924	20000.0
70	140.248	34.097	38.114	32.223	0.117	0.927	20000.0
71	134.668	32.806	36.002	30.916	0.108	0.929	20000.0
72	146.983	35.326	37.82	32.899	0.127	0.918	20000.0
73	137.06	33.757	37.367	31.272	0.118	0.929	20000.0
74	124.426	31.386	31.86	28.199	0.121	0.935	20000.0
75	128.441	31.123	32.61	27.67	0.11	0.941	20000.0
76	136.439	33.18	37.076	31.178	0.114	0.929	20000.0
77	140.679	34.878	38.712	33.04	0.123	0.92	20000.0
78	135.08	33.343	35.557	31.495	0.116	0.925	20000.0
79	133.823	32.534	36.355	30.251	0.111	0.934	20000.0
80	137.87	33.256	35.815	30.378	0.114	0.93	20000.0
81	147.228	35.333	38.383	32.863	0.123	0.918	20000.0
82	138.787	32.876	35.87	29.987	0.115	0.937	20000.0
83	144.349	34.904	38.003	31.752	0.123	0.928	20000.0
84	134.074	32.615	34.896	30.91	0.117	0.926	20000.0
85	141.443	33.879	36.571	30.27	0.121	0.935	20000.0
86	135.025	32.78	35.85	31.277	0.115	0.927	20000.0
87	129.665	32.688	34.274	30.005	0.116	0.93	20000.0
88	140.161	34.885	37.37	32.218	0.122	0.92	20000.0
89	132.507	32.457	34.13	29.388	0.12	0.932	20000.0
90	132.152	32.541	34.644	29.001	0.11	0.938	20000.0
91	142.94	34.817	37.96	32.872	0.129	0.919	20000.0
92	139.712	34.024	37.155	31.815	0.122	0.92	20000.0
93	136.684	33.671	37.319	31.468	0.119	0.929	20000.0
94	134.505	31.567	35.325	29.092	0.1	0.939	20000.0
95	136.507	33.416	35.899	31.118	0.121	0.925	20000.0
96	141.117	33.795	38.565	31.952	0.112	0.93	30000.0
97	136.582	34.765	34.318	30.687	0.133	0.924	20000.0
98	136.63	34.38	35.471	31.506	0.125	0.922	20000.0
99	134.643	33.462	36.46	30.653	0.121	0.929	20000.0
100	140.989	34.879	38.106	33.19	0.128	0.915	20000.0
101	135.102	33.143	35.874	30.793	0.123	0.924	20000.0
102	142.195	34.725	39.334	32.844	0.125	0.922	20000.0
103	134.804	34.069	34.349	31.017	0.119	0.926	20000.0
104	144.894	35.447	39.364	32.911	0.123	0.918	20000.0
105	137.216	32.95	35.63	30.45	0.117	0.932	20000.0
106	135.469	32.933	36.643	31.175	0.116	0.93	20000.0
107	126.804	31.649	33.631	29.077	0.115	0.934	20000.0
108	135.92	33.158	36.231	30.5	0.115	0.933	20000.0
109	142.438	34.764	38.587	32.471	0.121	0.922	20000.0
110	138.165	33.552	36.413	30.717	0.122	0.933	20000.0
111	141.562	35.054	37.679	32.407	0.131	0.92	20000.0
112	139.593	34.227	37.256	32.704	0.121	0.919	20000.0
113	140.761	34.522	37.75	32.208	0.131	0.923	20000.0
114	134.29	32.607	36.927	30.618	0.112	0.929	20000.0
115	126.267	31.17	33.721	28.935	0.106	0.937	20000.0
116	137.727	33.525	36.789	31.007	0.117	0.93	20000.0
117	142.12	33.942	36.72	30.581	0.131	0.93	20000.0
118	136.31	32.524	35.138	28.617	0.114	0.945	20000.0
119	138.457	33.345	37.504	30.905	0.118	0.93	20000.0
120	134.89	31.965	35.509	29.88	0.104	0.934	20000.0
121	131.822	31.811	33.69	28.212	0.112	0.939	20000.0
122	141.261	33.984	37.651	31.666	0.117	0.926	20000.0
123	137.024	34.077	36.788	31.622	0.123	0.924	20000.0
124	133.364	31.389	35.476	29.801	0.107	0.937	20000.0
125	131.196	32.05	36.987	32.279	0.115	0.919	20000.0
126	134.493	32.432	33.438	28.484	0.11	0.942	20000.0
127	133.971	33.656	36.79	32.188	0.13	0.919	20000.0
128	124.781	29.258	33.166	26.978	0.091	0.949	20000.0
129	138.147	34.48	36.288	32.602	0.126	0.917	20000.0
130	137.665	34.501	36.361	31.557	0.121	0.923	30000.0
131	138.757	33.345	35.502	30.039	0.118	0.933	20000.0
132	134.197	32.164	35.713	29.707	0.114	0.935	20000.0
133	140.045	32.936	34.583	28.941	0.121	0.937	20000.0
134	143.563	35.434	37.391	32.198	0.12	0.925	20000.0
135	140.907	33.744	36.543	30.432	0.116	0.932	20000.0
136	134.34	34.158	36.136	31.769	0.121	0.924	20000.0
137	137.748	34.595	37.791	31.975	0.124	0.921	20000.0
138	135.76	34.525	35.295	31.635	0.127	0.917	20000.0
139	138.646	33.524	34.852	30.364	0.124	0.928	20000.0
140	135.951	33.081	36.057	30.618	0.115	0.932	20000.0
141	139.55	33.365	37.7	31.278	0.117	0.933	20000.0
142	140.665	35.087	37.835	32.483	0.123	0.922	20000.0
143	130.393	31.932	35.286	30.592	0.115	0.931	20000.0
144	142.332	34.922	39.038	33.045	0.125	0.919	20000.0
145	139.459	35.417	36.554	32.468	0.138	0.919	30000.0
146	143.698	34.847	38.611	32.427	0.131	0.924	20000.0
147	136.786	32.836	36.086	30.747	0.116	0.924	30000.0
148	135.585	33.669	35.711	31.026	0.119	0.927	20000.0
149	137.123	34.095	36.087	30.993	0.125	0.925	20000.0
150	140.892	34.856	36.85	32.132	0.121	0.923	20000.0
151	132.907	33.375	34.813	30.864	0.117	0.927	20000.0
152	134.8	33.321	36.356	31.122	0.117	0.928	20000.0
153	137.056	32.932	37.583	31.207	0.107	0.931	20000.0
154	135.873	33.375	37.589	31.811	0.116	0.926	20000.0
155	136.484	33.976	35.88	31.439	0.127	0.924	20000.0
156	144.933	34.063	41.04	33.454	0.117	0.919	20000.0
157	142.07	35.164	35.829	31.336	0.135	0.924	20000.0
158	141.46	34.151	38.885	32.22	0.117	0.928	20000.0
159	141.89	34.744	36.742	32.016	0.127	0.918	20000.0
160	140.906	33.146	37.292	30.393	0.114	0.933	20000.0
161	129.806	32.585	34.657	30.81	0.12	0.926	20000.0
162	125.567	31.197	32.932	28.582	0.113	0.94	20000.0
163	133.44	32.591	34.343	29.66	0.115	0.933	30000.0
164	140.911	34.713	36.461	32.027	0.125	0.919	20000.0
165	136.49	33.472	36.762	30.966	0.118	0.927	20000.0
166	131.586	31.824	35.325	29.897	0.106	0.933	20000.0
167	141.487	34.128	38.259	31.55	0.127	0.928	20000.0
168	133.85	32.928	34.368	29.66	0.111	0.936	20000.0
169	137.046	33.292	35.57	30.069	0.11	0.934	20000.0
170	137.426	32.886	35.37	29.621	0.121	0.932	20000.0
171	146.766	37.105	39.213	34.54	0.141	0.91	20000.0
172	139.831	33.115	37.389	30.634	0.11	0.929	20000.0
173	139.499	35.38	36.33	32.952	0.13	0.914	20000.0
174	140.31	33.411	36.632	31.329	0.117	0.929	20000.0
175	136.808	33.287	35.213	30.65	0.113	0.929	20000.0
176	146.97	35.502	40.465	33.969	0.127	0.917	20000.0
177	136.096	31.705	35.813	29.242	0.11	0.934	20000.0
178	146.964	35.638	40.099	33.579	0.126	0.92	20000.0
179	129.625	31.212	35.046	29.997	0.115	0.929	20000.0
180	138.773	33.221	35.499	29.829	0.118	0.932	20000.0
181	144.478	36.202	37.781	32.856	0.136	0.916	20000.0
182	141.482	33.381	38.035	31.777	0.119	0.927	20000.0
183	137.32	33.909	34.967	30.131	0.124	0.933	20000.0
184	138.086	33.838	38.689	32.403	0.119	0.923	30000.0
185	145.602	36.394	36.024	32.733	0.141	0.905	20000.0
186	135.419	33.601	37.873	31.747	0.118	0.924	20000.0
187	136.293	33.444	36.225	31.691	0.126	0.922	20000.0
188	141.317	33.544	36.097	30.354	0.114	0.936	20000.0
189	135.335	32.183	35.075	28.93	0.109	0.939	20000.0
190	134.678	32.654	37.249	31.145	0.11	0.931	20000.0
191	136.634	32.853	37.496	31.317	0.109	0.93	20000.0
192	130.149	32.182	36.525	31.763	0.113	0.924	20000.0
193	133.811	33.102	37.21	31.822	0.116	0.924	20000.0
194	139.062	33.669	37.738	32.598	0.117	0.919	20000.0
195	141.599	34.257	38.775	32.03	0.116	0.925	20000.0
196	137.646	33.219	36.968	30.558	0.121	0.928	30000.0
197	131.0	32.65	36.312	31.727	0.118	0.922	20000.0
198	138.667	34.116	36.77	31.887	0.117	0.921	20000.0
199	137.67	33.265	37.186	31.472	0.11	0.928	20000.0
200	136.91	33.405	36.115	30.404	0.124	0.932	20000.0
201	135.676	33.243	36.462	31.166	0.116	0.927	30000.0
202	137.366	33.697	37.429	31.094	0.117	0.93	20000.0
203	132.287	32.119	34.669	29.809	0.112	0.934	20000.0
204	139.813	31.781	37.065	29.475	0.106	0.938	20000.0
205	146.294	35.581	40.366	33.647	0.123	0.919	20000.0
206	136.065	32.147	34.557	29.257	0.11	0.941	30000.0
207	133.744	33.567	35.085	31.028	0.116	0.928	20000.0
208	140.087	34.112	36.626	31.402	0.123	0.925	20000.0
209	135.147	32.826	37.484	31.724	0.117	0.925	20000.0
210	135.063	33.218	35.126	31.034	0.12	0.926	20000.0
211	132.796	32.237	34.56	29.632	0.106	0.935	20000.0
212	137.808	32.91	38.392	32.13	0.112	0.926	20000.0
213	138.69	35.259	35.61	32.102	0.128	0.918	20000.0
214	126.633	31.506	32.44	28.784	0.108	0.937	20000.0
215	130.304	31.556	33.085	29.072	0.106	0.935	20000.0
216	136.128	33.073	36.278	30.321	0.119	0.931	20000.0
217	141.351	34.921	37.64	31.909	0.13	0.924	20000.0
218	153.983	37.509	42.773	36.244	0.138	0.903	20000.0
219	128.454	32.721	34.658	30.83	0.116	0.927	20000.0
220	141.836	35.033	36.679	32.114	0.127	0.923	20000.0
221	146.001	35.266	37.961	32.644	0.127	0.925	20000.0
