NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
60	93.181	25.783	24.976	23.826	0.083	0.955	20000.0
61	88.289	23.6	22.929	21.436	0.071	0.964	20000.0
62	88.99	23.155	23.506	21.242	0.072	0.965	20000.0
63	98.991	26.467	24.86	23.819	0.079	0.953	20000.0
64	101.546	26.278	25.008	23.741	0.08	0.955	30000.0
65	97.079	25.998	26.858	23.567	0.075	0.959	20000.0
66	96.708	27.254	24.207	23.999	0.089	0.95	20000.0
67	97.715	25.574	26.048	22.971	0.072	0.961	20000.0
68	91.0	25.747	23.182	23.503	0.08	0.95	20000.0
69	104.356	28.022	27.781	25.508	0.095	0.95	20000.0
70	98.037	26.07	23.957	22.342	0.081	0.958	20000.0
71	104.971	27.43	27.974	24.733	0.08	0.953	20000.0
72	100.303	26.528	27.307	24.636	0.089	0.953	20000.0
73	94.251	25.458	24.665	23.137	0.083	0.956	20000.0
74	93.572	24.852	26.286	23.032	0.073	0.961	20000.0
75	98.065	25.437	26.112	23.138	0.079	0.959	20000.0
76	97.3	23.728	26.616	21.515	0.072	0.968	20000.0
77	83.645	22.657	21.292	19.496	0.074	0.97	20000.0
78	94.725	24.64	25.624	22.649	0.078	0.962	20000.0
79	90.392	24.117	23.958	22.202	0.071	0.964	20000.0
80	96.825	24.965	24.972	22.369	0.072	0.961	20000.0
81	99.865	25.936	24.974	22.933	0.082	0.959	20000.0
82	90.679	23.881	23.475	21.757	0.072	0.963	20000.0
83	103.138	27.019	27.298	24.762	0.083	0.952	20000.0
84	87.644	23.3	21.43	20.972	0.075	0.963	20000.0
85	97.948	26.75	26.439	25.281	0.085	0.947	20000.0
86	97.882	25.986	25.084	22.628	0.078	0.959	20000.0
87	94.627	25.881	25.875	23.269	0.082	0.96	20000.0
88	106.972	26.452	29.531	23.668	0.078	0.964	20000.0
89	97.234	25.875	26.176	23.849	0.079	0.957	20000.0
90	97.314	27.506	25.992	25.856	0.087	0.941	20000.0
91	103.342	28.101	26.749	25.514	0.088	0.947	20000.0
92	90.936	24.348	23.477	22.243	0.077	0.96	20000.0
93	104.42	26.868	28.011	24.929	0.077	0.953	20000.0
94	96.394	25.249	22.978	22.281	0.085	0.958	20000.0
95	96.477	24.467	24.45	21.637	0.071	0.965	20000.0
96	94.382	22.829	24.443	20.04	0.065	0.973	20000.0
97	93.984	26.102	24.701	23.58	0.082	0.954	20000.0
98	99.717	26.63	25.866	24.18	0.081	0.952	20000.0
99	91.895	25.471	23.001	22.382	0.079	0.956	20000.0
100	94.438	24.958	23.369	21.569	0.082	0.965	20000.0
101	90.297	23.334	22.784	20.296	0.074	0.969	20000.0
102	103.054	27.262	25.121	23.319	0.1	0.956	20000.0
103	108.242	27.333	28.99	25.652	0.085	0.952	20000.0
104	91.329	23.666	22.328	20.174	0.074	0.969	20000.0
105	90.036	24.254	23.322	22.294	0.076	0.959	20000.0
106	91.244	25.618	22.555	22.466	0.081	0.958	20000.0
107	100.577	25.987	27.19	24.315	0.078	0.954	20000.0
108	97.942	25.281	26.43	23.726	0.079	0.957	20000.0
