NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
484	160.853	41.472	40.461	37.093	0.18	0.893	20000.0
485	155.572	37.834	38.794	33.616	0.147	0.914	20000.0
486	170.441	37.429	45.526	34.741	0.141	0.909	20000.0
487	145.755	37.209	36.931	33.406	0.16	0.908	20000.0
488	151.566	39.725	38.361	35.024	0.182	0.897	20000.0
489	152.644	39.402	38.238	34.232	0.173	0.906	20000.0
490	151.5	36.002	40.041	32.843	0.14	0.919	20000.0
491	140.823	33.97	36.118	30.55	0.123	0.931	20000.0
492	146.804	35.336	35.168	30.413	0.14	0.923	20000.0
493	156.335	39.115	39.558	35.397	0.171	0.897	20000.0
494	161.087	39.07	39.847	34.227	0.145	0.912	20000.0
495	160.801	37.884	41.579	33.92	0.142	0.909	20000.0
496	147.319	37.948	36.826	33.641	0.148	0.91	20000.0
497	146.049	37.906	36.325	32.388	0.157	0.918	20000.0
498	155.038	35.544	41.088	33.373	0.131	0.92	20000.0
499	152.428	36.351	39.657	33.23	0.134	0.916	20000.0
500	146.562	36.09	38.092	33.392	0.144	0.916	20000.0
