Sample Names	MutationTypes	CNV48A	CNV48B
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	2:het:0-100kb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	2:het:100kb-1Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	2:het:1Mb-10Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	2:het:10Mb-40Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	2:het:>40Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	3-4:het:0-100kb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	3-4:het:100kb-1Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	3-4:het:1Mb-10Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	3-4:het:10Mb-40Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	3-4:het:>40Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	5-8:het:0-100kb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	5-8:het:100kb-1Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	5-8:het:1Mb-10Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	5-8:het:10Mb-40Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	5-8:het:>40Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	9+:het:0-100kb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	9+:het:100kb-1Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	9+:het:1Mb-10Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	9+:het:10Mb-40Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	9+:het:>40Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	0:homdel:0-100kb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	0:homdel:100kb-1Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	0:homdel:>1Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	1:LOH:0-100kb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	1:LOH:100kb-1Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	1:LOH:1Mb-10Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	1:LOH:10Mb-40Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	1:LOH:>40Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	2:LOH:0-100kb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	2:LOH:100kb-1Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	2:LOH:1Mb-10Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	2:LOH:10Mb-40Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	2:LOH:>40Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	3-4:LOH:0-100kb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	3-4:LOH:100kb-1Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	3-4:LOH:1Mb-10Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	3-4:LOH:10Mb-40Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	3-4:LOH:>40Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	5-8:LOH:0-100kb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	5-8:LOH:100kb-1Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	5-8:LOH:1Mb-10Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	5-8:LOH:10Mb-40Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	5-8:LOH:>40Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	9+:LOH:0-100kb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	9+:LOH:100kb-1Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	9+:LOH:1Mb-10Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	9+:LOH:10Mb-40Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	9+:LOH:>40Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	2:het:0-100kb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	2:het:100kb-1Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	2:het:1Mb-10Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	2:het:10Mb-40Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	2:het:>40Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	3-4:het:0-100kb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	3-4:het:100kb-1Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	3-4:het:1Mb-10Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	3-4:het:10Mb-40Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	3-4:het:>40Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	5-8:het:0-100kb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	5-8:het:100kb-1Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	5-8:het:1Mb-10Mb	1.0	0.0
CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2	5-8:het:10Mb-40Mb	1.0	0.0
